"Supplement","Other_Supplements"
"Black seed oil","California poppy(2/42), Mulungu(2/58), Magnolia bark(2/83), Lemon balm(2/484), Cbd oil(5/1376), Glycine(1/441), Lavender(2/931), Tryptophan(1/587), Magnesium(5/6857), Melatonin(1/24587)"
"Vitamin d","Calcium(16/314), Zinc(14/339), Potassium(11/327), Magnesium(102/6857), Skullcap(2/150), Magnolia bark(1/83), Glycine(5/441), 5-htp(4/376), Theanine(3/468), Lemon balm(3/484), Ashwagandha(3/510), Lavender(5/931), Valerian root(13/3271), Kava(2/547), Tryptophan(2/587), Melatonin(62/24587), Cbd oil(3/1376), Chamomile(2/1431)"
"Magnesium","Zinc(238/339), Calcium(186/314), Potassium(192/327), Glycine(235/441), Theanine(178/468), Magnolia bark(29/83), Valerian root(964/3271), Lemon balm(139/484), Skullcap(42/150), 5-htp(95/376), Passion flower(55/224), California poppy(10/42), Ashwagandha(115/510), Vitamin d(102/550), Tryptophan(108/587), Chamomile(255/1431), Kava(96/547), Black seed oil(5/30), Lavender(134/931), Cbd oil(186/1376), Melatonin(2188/24587), Mulungu(3/58), Amanita(2/59)"
"Calcium","Potassium(55/327), Zinc(37/339), Vitamin d(16/550), Magnesium(186/6857), Magnolia bark(2/83), Passion flower(5/224), 5-htp(7/376), Kava(9/547), Tryptophan(9/587), Lemon balm(7/484), Skullcap(2/150), Valerian root(42/3271), Theanine(5/468), Chamomile(11/1431), Lavender(7/931), Ashwagandha(3/510), Glycine(2/441), Melatonin(70/24587)"
"Zinc","Calcium(37/314), Glycine(22/441), Potassium(13/327), Magnesium(238/6857), Passion flower(6/224), Vitamin d(14/550), Theanine(9/468), Lemon balm(9/484), Tryptophan(10/587), Kava(8/547), Valerian root(41/3271), Magnolia bark(1/83), Ashwagandha(6/510), 5-htp(4/376), Chamomile(11/1431), Lavender(7/931), Skullcap(1/150), Cbd oil(7/1376), Melatonin(81/24587)"
"Potassium","Calcium(55/314), Magnolia bark(4/83), Zinc(13/339), Magnesium(192/6857), Tryptophan(14/587), Vitamin d(11/550), Glycine(8/441), Lemon balm(8/484), Valerian root(32/3271), 5-htp(3/376), Skullcap(1/150), Theanine(3/468), Kava(3/547), Passion flower(1/224), Chamomile(6/1431), Lavender(2/931), Ashwagandha(1/510), Melatonin(45/24587)"
"Glycine","Magnolia bark(11/83), Lemon balm(45/484), Theanine(31/468), Zinc(22/339), 5-htp(18/376), Passion flower(10/224), Ashwagandha(19/510), Magnesium(235/6857), Skullcap(5/150), Black seed oil(1/30), Valerian root(84/3271), Tryptophan(15/587), Potassium(8/327), California poppy(1/42), Mulungu(1/58), Chamomile(21/1431), Kava(7/547), Vitamin d(5/550), Lavender(8/931), Melatonin(159/24587), Calcium(2/314), Cbd oil(8/1376)"
"Tryptophan","5-htp(37/376), Theanine(21/468), Potassium(14/327), Lemon balm(18/484), Magnolia bark(3/83), Glycine(15/441), Black seed oil(1/30), Zinc(10/339), Valerian root(96/3271), Calcium(9/314), Kava(9/547), Magnesium(108/6857), Lavender(10/931), Chamomile(15/1431), Melatonin(234/24587), Passion flower(2/224), Cbd oil(11/1376), Ashwagandha(4/510), Skullcap(1/150), Vitamin d(2/550)"
"Theanine","Magnolia bark(10/83), Skullcap(18/150), Glycine(31/441), Lemon balm(29/484), Passion flower(11/224), Ashwagandha(19/510), Valerian root(120/3271), Tryptophan(21/587), Zinc(9/339), Magnesium(178/6857), California poppy(1/42), Kava(12/547), Chamomile(31/1431), 5-htp(8/376), Lavender(15/931), Calcium(5/314), Potassium(3/327), Cbd oil(10/1376), Melatonin(174/24587), Vitamin d(3/550)"
"Amanita","Mulungu(10/58), California poppy(1/42), Kava(13/547), Skullcap(3/150), Passion flower(2/224), Lemon balm(2/484), Lavender(3/931), Valerian root(6/3271), Chamomile(2/1431), Cbd oil(1/1376), Magnesium(2/6857), Melatonin(7/24587)"
